Postal Code;City;Street
877;Valby;Vigerslev Alle 18
900;Kobenhavn C;
910;Kobenhavn C;Ufrankerede svarforsendelser
929;Kobenhavn C;Ufrankerede svarforsendelser
999;Kobenhavn C;Emil Holms Kanal 20
1000;Kobenhavn K;Kobmagergade 33
1001;Kobenhavn K;Postboks
1002;Kobenhavn K;Postboks
1003;Kobenhavn K;Postboks
1004;Kobenhavn K;Postboks
1005;Kobenhavn K;Postboks
1006;Kobenhavn K;Postboks
1007;Kobenhavn K;Postboks
1008;Kobenhavn K;Postboks
1009;Kobenhavn K;Postboks
1010;Kobenhavn K;Postboks
1011;Kobenhavn K;Postboks
1012;Kobenhavn K;Postboks
1013;Kobenhavn K;Postboks
1014;Kobenhavn K;Postboks
1015;Kobenhavn K;Postboks
1016;Kobenhavn K;Postboks
1017;Kobenhavn K;Postboks
1018;Kobenhavn K;Postboks
1019;Kobenhavn K;Postboks
1020;Kobenhavn K;Postboks
1021;Kobenhavn K;Postboks
1022;Kobenhavn K;Postboks
1023;Kobenhavn K;Postboks
1024;Kobenhavn K;Postboks
1025;Kobenhavn K;Postboks
1026;Kobenhavn K;Postboks
1045;Kobenhavn K;Ufrankerede svarforsendelser
1050;Kobenhavn K;Kongens Nytorv
1051;Kobenhavn K;Nyhavn
1052;Kobenhavn K;Herluf Trolles Gade
1053;Kobenhavn K;Cort Adelers Gade
1054;Kobenhavn K;Peder Skrams Gade
1055;Kobenhavn K;Tordenskjoldsgade
1055;Kobenhavn K;August Bournonvilles Passage
1056;Kobenhavn K;Heibergsgade
1057;Kobenhavn K;Holbergsgade
1058;Kobenhavn K;Havnegade
1059;Kobenhavn K;Niels Juels Gade
1060;Kobenhavn K;Holmens Kanal
1061;Kobenhavn K;Ved Stranden
1062;Kobenhavn K;Boldhusgade
1063;Kobenhavn K;Laksegade
1064;Kobenhavn K;Asylgade
1065;Kobenhavn K;Fortunstræde
1066;Kobenhavn K;Admiralgade
1067;Kobenhavn K;Nikolaj Plads
1068;Kobenhavn K;Nikolajgade
1069;Kobenhavn K;Bremerholm
1070;Kobenhavn K;Vingårdstræde
1071;Kobenhavn K;Dybensgade
1072;Kobenhavn K;Lille Kirkestræde
1073;Kobenhavn K;Store Kirkestræde
1074;Kobenhavn K;Lille Kongensgade
1092;Kobenhavn K;Holmens Kanal 2-12
1093;Kobenhavn K;Havnegade 5
1095;Kobenhavn K;Kongens Nytorv 13
1098;Kobenhavn K;Esplanaden 50
1100;Kobenhavn K;ostergade
1101;Kobenhavn K;Ny ostergade
1102;Kobenhavn K;Pistolstræde
1103;Kobenhavn K;Hovedvagtsgade
1104;Kobenhavn K;Ny Adelgade
1105;Kobenhavn K;Kristen Bernikows Gade
1106;Kobenhavn K;Antonigade
1107;Kobenhavn K;Gronnegade
1110;Kobenhavn K;Store Regnegade
1111;Kobenhavn K;Christian IX's Gade
1112;Kobenhavn K;Pilestræde
1113;Kobenhavn K;Silkegade
1114;Kobenhavn K;Kronprinsensgade
1115;Kobenhavn K;Klareboderne
1116;Kobenhavn K;Montergade
1117;Kobenhavn K;Gammel Mont
1118;Kobenhavn K;Sværtegade
1119;Kobenhavn K;Landemærket
1120;Kobenhavn K;Vognmagergade
1121;Kobenhavn K;Lonporten
1122;Kobenhavn K;Sjæleboderne
1123;Kobenhavn K;Gothersgade
1124;Kobenhavn K;Åbenrå
1125;Kobenhavn K;Suhmsgade
1126;Kobenhavn K;Pustervig
1127;Kobenhavn K;Hauser Plads
1128;Kobenhavn K;Hausergade
1129;Kobenhavn K;Sankt Gertruds Stræde
1130;Kobenhavn K;Rosenborggade
1131;Kobenhavn K;Tornebuskegade
1140;Kobenhavn K;Montergade 19
1147;Kobenhavn K;Pilestræde 34
1148;Kobenhavn K;Vognmagergade 11
1150;Kobenhavn K;Kobmagergade
1151;Kobenhavn K;Valkendorfsgade
1152;Kobenhavn K;Lovstræde
1153;Kobenhavn K;Niels Hemmingsens Gade
1154;Kobenhavn K;Gråbrodretorv
1155;Kobenhavn K;Kejsergade
1156;Kobenhavn K;Gråbrodrestræde
1157;Kobenhavn K;Klosterstræde
1158;Kobenhavn K;Skoubogade
1159;Kobenhavn K;Skindergade
1160;Kobenhavn K;Amagertorv
1161;Kobenhavn K;Vimmelskaftet
1162;Kobenhavn K;Jorcks Passage
1163;Kobenhavn K;Klostergården
1164;Kobenhavn K;Nygade
1165;Kobenhavn K;Norregade
1166;Kobenhavn K;Dyrkob
1167;Kobenhavn K;Bispetorvet
1168;Kobenhavn K;Frue Plads
1169;Kobenhavn K;Store Kannikestræde
1170;Kobenhavn K;Lille Kannikestræde
