,Street,Street_lat,Street_lon,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
0,Nyhavn,55.679770000000076,12.592204505000039,Copenhagen Bicycles,55.67903501063472,12.592746671829758,Bike Shop
1,Peder Skrams Gade,55.677622952000036,12.589280000000029,Gammelholm Cykler,55.678180136892514,12.588661459835443,Bike Shop
2,Laksegade,55.67810000000003,12.583979524000027,Coffee and Bikes,55.67878,12.583225,Bike Shop
3,Østergade,55.679520000000075,12.582400022000058,Rapha Cycle Club,55.68004343342947,12.582027912139893,Bike Shop
4,Østergade,55.679520000000075,12.582400022000058,jupiter ekstra,55.67993089163879,12.581226554178283,Bike Shop
5,Åbenrå,55.68333500000006,12.575716471000021,Åbenrå Cykelservice,55.682948,12.576825,Bike Shop
6,Hausergade,55.68271500000003,12.574860649000072,Rosenborg Cykler,55.683339,12.573866,Bike Shop
7,Løvstræde,55.680405000000064,12.577086582000051,Dennis & Lottes Cykler,55.680214,12.576199,Bike Shop
8,Bispetorvet,55.67896252600008,12.571630000000026,The Fixiest,55.678605226844404,12.570403304597022,Bike Shop
9,Fiolstræde,55.68152000000004,12.572468304000038,Cykelværksted,55.681716803061185,12.571273892667005,Bike Shop
10,Fiolstræde,55.68152000000004,12.572468304000038,Cykelsmeden I Nørregade,55.68190601581877,12.571134,Bike Shop
11,Palægade,55.68189000000007,12.587340674000075,Bike Rental Copenhagen,55.68140142501571,12.586845159530638,Bike Shop
12,Frederiksgade,55.68472000000003,12.588661667000055,kgs. nytorv cykler,55.684602,12.587864,Bike Shop
13,Borgergade,55.68531411900005,12.586895686000046,Cykelmesteren,55.68495968104019,12.586194221967405,Bike Shop
14,Dronningens Tværgade,55.68379500000003,12.586225562000037,Cykelmageren,55.684004,12.587514,Bike Shop
15,Adelgade,55.683370000000075,12.58327994800004,Global Student,55.68350637000997,12.583106160163878,Bike Shop
16,Kronprinsessegade,55.68373590800008,12.581945000000074,Bike Attitude,55.68440514956574,12.582218562125492,Bike Shop
17,Sølvgade,55.68650130800006,12.580476935000036,KGS Have Cykler,55.686615,12.581717,Bike Shop
18,Sølvgade,55.68650130800006,12.580476935000036,MT-Cykel v/Bahador,55.687237,12.581329,Bike Shop
19,Linnésgade,55.682913858000056,12.568880000000036,Cyklistbutikken 1905,55.68314485326641,12.567610343680093,Bike Shop
20,Linnésgade,55.682913858000056,12.568880000000036,Cyklistforbundet,55.68320438903961,12.567741554072452,Office
21,Rømersgade,55.684930000000065,12.570007500000033,Velorbis,55.685251,12.568618,Bike Shop
22,Vendersgade,55.685160000000046,12.56557418500006,Larry vs Harry,55.685747066831446,12.566326481421115,Bike Shop
23,Vendersgade,55.685160000000046,12.56557418500006,Saga Cykler,55.685924211587604,12.566188333221511,Bike Shop
24,Vendersgade,55.685160000000046,12.56557418500006,Dronning Louises Cykler,55.68586,12.565837,Bike Shop
25,Vendersgade,55.685160000000046,12.56557418500006,Søen's Cykler,55.68588095957456,12.565237042727636,Bike Shop
26,Vendersgade,55.685160000000046,12.56557418500006,No Logo Bikes,55.685674,12.566055,Bike Shop
27,Vendersgade,55.685160000000046,12.56557418500006,Cykelstad,55.685057,12.567042,Bike Shop
28,Vendersgade,55.685160000000046,12.56557418500006,Bullit,55.685625,12.566135,Bike Shop
29,Vendersgade,55.685160000000046,12.56557418500006,La Bicyclette,55.68488110592368,12.56687912737037,Bike Shop
30,Nansensgade,55.682867162000036,12.564710000000048,Max's Bike,55.68303267520092,12.5660364319441,Bike Shop
31,Gyldenløvesgade Lige nr,55.68216500000007,12.559138148000045,Ride4fun,55.6820830187523,12.55786728383034,Bike Shop
32,Christianshavns Torv,55.672135000000075,12.591137760000038,Star Cykler,55.672602,12.591372,Bike Shop
33,Teglgårdstræde,55.67935000000006,12.568259727000056,Sögreni,55.678778,12.567640542984009,Bike Shop
34,Farvergade,55.675955000000044,12.572481444000061,Smartmove,55.675926208496094,12.573756217956543,Bike Shop
35,Stormgade 2-16,55.675040000000074,12.574444907000046,Rådhusstræde Cycler,55.67437719707746,12.575488029007499,Bike Shop
36,Gyldenløvesgade Ulige nr.,55.68017500000008,12.562340802000053,TrioBike,55.679652131496034,12.561386601888954,Bike Shop
37,Gyldenløvesgade Ulige nr.,55.68017500000008,12.562340802000053,Bicyclus,55.680489,12.561038,Bike Shop
38,Gyldenløvesgade Ulige nr.,55.68017500000008,12.562340802000053,Cyklisterne,55.680072,12.56363,Bike Shop
39,Herholdtsgade,55.67598000000004,12.561129659000072,Giant,55.675546,12.561575,Bike Shop
40,Meldahlsgade,55.674548754000064,12.561655000000028,Urania Cykler,55.67437244905978,12.560167697268966,Bike Shop
41,Meldahlsgade,55.674548754000064,12.561655000000028,Cycle Shop,55.674309,12.562437,Bike Shop
42,Bagerstræde,55.67301500000008,12.554632122000045,Jupiter Cykler,55.67348959488667,12.554456800799509,Bike Shop
43,Bagerstræde,55.67301500000008,12.554632122000045,Åbningsfest @BenBen,55.672457,12.554611,Bike Shop
44,Bagerstræde,55.67301500000008,12.554632122000045,Finn C,55.672194,12.554557,Bike Shop
45,Bagerstræde,55.67301500000008,12.554632122000045,Cash&Carry,55.672517,12.553364,Bike Shop
46,Bagerstræde,55.67301500000008,12.554632122000045,BenBen,55.67228599743749,12.554986017114112,Bike Shop
47,Tullinsgade,55.673650398000056,12.55129199700002,Cykel Filialen,55.674283,12.551605,Bike Shop
